uid,date,titre,type_vote,adopte,dossier_ref,nb_votants,pour,contre,abstention
VTANR5L17V6396,2026-05-06,l'amendement n° 47 de Mme Alexandra Martin (Alpes-Maritimes) à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,96,41,45,10
VTANR5L17V6392,2026-05-06,l'amendement n° 708 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,126,42,84,0
VTANR5L17V6372,2026-05-06,l'amendement n° 382 de M. Lachaud à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,60,12,44,4
VTANR5L17V6386,2026-05-06,l'amendement n° 671 de Mme Florence Goulet à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,119,41,78,0
VTANR5L17V6349,2026-05-06,l'amendement n° 522 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,100,39,61,0
VTANR5L17V6352,2026-05-06,l'amendement n° 154 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,103,26,77,0
VTANR5L17V6364,2026-05-06,l'amendement n° 590 de M. Jacobelli à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,115,42,72,1
VTANR5L17V6356,2026-05-06,l'amendement n° 532 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,103,40,63,0
VTANR5L17V6346,2026-05-06,l'ensemble du projet de loi relatif à la restitution de biens culturels ayant fait l'objet d'une appropriation illicite (texte de la commission mixte paritaire).,scrutin public ordinaire,adopté,DLR5L17N52635,153,141,0,12
VTANR5L17V6348,2026-05-06,l'amendement n° 517 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,98,37,61,0
